Element,Mass,Abund,Label
H,1,100,H-1
H,2,0,H-2
He,3,0,He-3
He,4,100,He-4
Li,6,7.4,Li-6
Li,7,92.6,Li-7
Be,9,100,Be-9
B,10,19.8,B-10
B,11,80.2,B-11
C,12,98.9,C-12
C,13,1.1,C-13
N,14,99.6,N-14
N,15,0.4,N-15
O,16,99.8,O-16
O,18,0.2,O-18
F,19,100,F-19
Ne,20,90.6,Ne-20
Ne,21,0.3,Ne-21
Ne,22,9.2,Ne-22
Na,23,100,Na-23
Mg,24,78.9,Mg-24
Mg,25,10,Mg-25
Mg,26,11.1,Mg-26
Al,27,100,Al-27
Si,28,92.2,Si-28
Si,29,4.7,Si-29
Si,30,3.1,Si-30
P,31,100,P-31
S,32,95,S-32
S,33,0.8,S-33
S,34,4.2,S-34
Cl,35,75.8,Cl-35
S,36,0,S-36
Ar,36,0.3,Ar-36
Cl,37,24.2,Cl-37
Ar,38,0.1,Ar-38
K,39,93.2,K-39
Ar,40,99.6,Ar-40
Ca,40,97,Ca-40
K,40,0,K-40
K,41,6.7,K-41
Ca,42,0.7,Ca-42
Ca,43,0.1,Ca-43
Ca,44,20.9,Ca-44
Sc,45,100,Sc-45
Ti,46,8,Ti-46
Ca,46,0,Ca-46
Ti,47,7.3,Ti-47
Ti,48,73.8,Ti-48
Ca,48,0.2,Ca-48
Ti,49,5.5,Ti-49
Ti,50,5.4,Ti-50
Cr,50,4.4,Cr-50
V,50,0.3,V-50
V,51,99.8,V-51
Cr,52,83.8,Cr-52
Cr,53,9.5,Cr-53
Cr,54,2.4,Cr-54
Fe,54,5.8,Fe-54
Mn,55,100,Mn-55
Fe,56,91.7,Fe-56
Fe,57,2.2,Fe-57
Fe,58,0.3,Fe-58
Ni,58,68.3,Ni-58
Co,59,100,Co-59
Ni,60,26.1,Ni-60
Ni,61,1.1,Ni-61
Ni,62,3.6,Ni-62
Cu,63,69.2,Cu-63
Ni,64,0.9,Ni-64
Zn,64,48.6,Zn-64
Cu,65,30.8,Cu-65
Zn,66,27.9,Zn-66
Zn,67,4.1,Zn-67
Zn,68,18.8,Zn-68
Ga,69,60.1,Ga-69
Ge,70,20.5,Ge-70
Zn,70,0.6,Zn-70
Ga,71,39.9,Ga-71
Ge,72,27.4,Ge-72
Ge,73,7.8,Ge-73
Ge,74,36.5,Ge-74
Se,74,0.9,Se-74
As,75,100,As-75
Ge,75,7.8,Ge-75
Se,76,9,Se-76
Se,77,7.6,Se-77
Se,78,23.5,Se-78
Kr,78,0.4,Kr-78
Kr,80,2.3,Kr-80
Se,80,49.6,Se-80
Br,81,50.7,Br-81
Br,81,49.3,Br-81
Kr,82,11.6,Kr-82
Se,82,9.4,Se-82
Kr,83,11.5,Kr-83
Kr,84,57,Kr-84
Sr,84,0.6,Sr-84
Rb,85,72.2,Rb-85
Sr,86,9.9,Sr-86
Kr,86,17.3,Kr-86
Sr,87,7,Sr-87
Rb,87,27.8,Rb-87
Sr,88,82.6,Sr-88
Y,89,100,Y-89
Zr,90,51.5,Zr-90
Zr,91,11.3,Zr-91
Zr,92,17.2,Zr-92
Mo,92,14.8,Mo-92
Nb,93,100,Nb-93
Mo,94,9.3,Mo-94
Zr,94,17.3,Zr-94
Mo,95,15.9,Mo-95
Mo,96,16.7,Mo-96
Ru,96,5.5,Ru-96
Zr,96,2.8,Zr-96
Mo,97,9.6,Mo-97
Tc,97,33.3,Tc-97
Ru,98,1.9,Ru-98
Mo,98,24.1,Mo-98
Tc,98,33.3,Tc-98
Ru,99,12.7,Ru-99
Tc,99,33.3,Tc-99
Ru,100,12.6,Ru-100
Mo,100,9.6,Mo-100
Ru,101,17,Ru-101
Ru,102,31.6,Ru-102
Pd,102,1,Pd-102
Rh,103,100,Rh-103
Pd,104,11.1,Pd-104
Ru,104,18.7,Ru-104
Pd,105,22.3,Pd-105
Pd,106,27.3,Pd-106
Cd,106,1.3,Cd-106
Ag,107,51.8,Ag-107
Pd,108,26.5,Pd-108
Ag,109,48.2,Ag-109
