canonical_formula,truth_label,instance_count
AgCl,AgCl,3
Al2O,Al2O,2
Al3O,Al3O,1
AlH,AlH,3
AlH2,AlH2,3
AlH2O,AlH2O,2
AlO,AlO,10
AlO2,AlO2,1
AlY,AlY,1
AsClH,AsClH,2
AsHSi,AsHSi,3
AsP,AsP,1
AuH,AuH,1
AuH2,AuH2,1
AuN,AuN,1
AuN2,AuN2,1
AuZn,AuZn,1
BaO,BaO,5
BeFe,BeFe,8
BrO2,BrO2,2
C2,C2,7
C2Ni,C2Ni,2
C2O,C2O,2
C3,C3,11
C4,C4,1
CCr,CCr,2
CMo,CMo,8
CN,CN,2
CNi,CNi,2
CO2,CO2,5
CPt,CPt,4
CSi,CSi,2
CW,CW,4
CoO,CoO,2
CoO2,CoO2,1
CoO3,CoO3,1
Cr2O4,Cr2O4,1
CrN,CrN,2
CrO,CrO,10
CrO2,CrO2,1
CuH,CuH,2
CuH2,CuH2,2
CuO,CuO,5
CuZn,CuZn,6
FeH,FeH,2
FeMn,FeMn,12
FeO,FeO,3
FeS,FeS,4
GaN,GaN,2
GaN3,GaN3,1
H2,H2,29
H2N2,H2N2,1
H2O,H2O,13
H2OSi,H2OSi,3
H2Ti,H2Ti,4
H2Zr,H2Zr,1
H3,H3,7
H3O,H3O,1
H3OSi,H3OSi,5
H5O2,H5O2,1
HHfO,HHfO,1
HMgO,HMgO,1
HMn,HMn,1
HMnO2,HMnO2,1
HMnO3,HMnO3,1
HMnO4,HMnO4,1
HN,HN,1
HNi,HNi,2
HO,HO,15
HO2,HO2,1
HOSi,HOSi,2
HSc,HSc,1
HTi,HTi,5
HZn,HZn,2
HZr,HZr,6
HfO,HfO,10
IK,IK,2
In2,In2,2
InO,InO,4
InO2,InO2,1
Ir2O5,Ir2O5,1
IrO2,IrO2,4
IrO3,IrO3,1
MnO,MnO,1
MnO2,MnO2,2
MnO3,MnO3,3
MnO4,MnO4,1
Mo2,Mo2,26
MoO,MoO,7
N2,N2,4
N2O,N2O,1
N3,N3,1
NO2,NO2,1
NSi,NSi,4
NSi2,NSi2,4
NTi,NTi,6
NTi2,NTi2,3
NW,NW,13
Ni2O,Ni2O,12
NiO,NiO,18
NiO2,NiO2,6
NiO3,NiO3,3
O2,O2,12
O2Ru,O2Ru,13
O2Si,O2Si,10
O2Ta,O2Ta,2
O2Ti,O2Ti,4
O2V,O2V,2
O2Zr,O2Zr,4
O3Ru,O3Ru,12
O3Si,O3Si,1
O3Si2,O3Si2,4
O3SiZr,O3SiZr,2
O4,O4,1
O4Ru,O4Ru,7
OP,OP,2
OPb,OPb,4
OSi,OSi,20
OSn,OSn,1
OSr,OSr,3
OTi,OTi,8
OU,OU,1
OW,OW,1
OY,OY,3
OY2,OY2,1
OZr,OZr,11
Ta3,Ta3,1
Zn2,Zn2,3
